"","Stem_core","Neftel_Cell_2019_MES2","Neftel_Cell_2019_MES1","Neftel_Cell_2019_AC","Neftel_Cell_2019_OPC","Neftel_Cell_2019_NPC1","Neftel_Cell_2019_NPC2","Neftel_Cell_2019_G1.S","Neftel_Cell_2019_G2.M","Yang_BioRxiv_2021_Astrocyte","Yang_BioRxiv_2021_Neuron","Yang_BioRxiv_2021_Oligo","Yang_BioRxiv_2021_OPC","Yang_BioRxiv_2021_BEC_capillary","Yang_BioRxiv_2021_Perivascular_fibroblast","Yang_BioRxiv_2021_Pericyte","Yang_BioRxiv_2021_SMC","Astrocytes","Bergmann.glia","Cajal.Retzius.cells","Choroid.plexus.cells","Endothelial.cells","Endothelial.cells..blood.brain.barrier.","Fibroblasts","Immature.neurons","Interneurons","Macrophages","Mast.cells","Meningeal.cells","Microglia","Monocytes","Motor.neurons","Myoepithelial.cells","Neural.stem.precursor.cells","Neurons","Oligodendrocyte.progenitor.cells","Pericytes","Photoreceptor.cells","Purkinje.fiber.cells","Purkinje.neurons","Pyramidal.cells","Radial.glia.cells","Tanycytes","Vascular.smooth.muscle.cells","Chanoch_Myers_MES_CORE_GENES","Chanoch_Myers_MES_OTHER","Chanoch_Myers_GLYCOLYSIS","Chanoch_Myers_APOPTOSIS","Chanoch_Myers_ASTROCYTE","Chanoch_Myers_INTERFERON","Chanoch_Myers_MHCI","Chanoch_Myers_MHCII","Chanoch_Myers_IMMUNE","Hu_2022_RG","Hu_2022_Peri","GSC_Catalog.Liau2018_GSC8","GSC_Catalog.Beier2007_CD133","Richards_NatureCancer_2021_sc.Developmental","Richards_NatureCancer_2021_sc.Injury_Response"
"42",NA,"RPL21","MGP","","HRASLS","GRIK2","TCF4","","HMGB3","MED12L","LRRTM4","HDAC2-AS2","GALNT13","SEC14L1","TMEM132C","RIPOR3","PPM1L","FZD2","","SLC25A36","","CLEC14A","","INMT","","ADCY8","FGL2","TPH1","","ALDH1A2","IL1RN","","","NXPH1","LUZP2","","","GNG13","","CAMK2A","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","IL34",NA,"SV2C","CLVS1","THAP1"
"43",NA,"TRAM1","CLIC4","","BCAS1","SERINC5","GNG3","","ARHGAP11A","DCLK2","GABRB2","SLAIN1","TMEM132D","NPIPB5","SLC6A20","GPC5","ADCY3","TEAD1","","ZDBF2","","DLL4","","CXCL14","","CTGF","GPNMB","CD55","","AEBP1","HLA-DRA","","","TOX3","SCRG1","","","PROX1","","PENK","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ISLR",NA,"SALL3","BAALC-AS2","ARMC1"
"44",NA,"UFM1","GFPT2","","RAB31","TSPAN13","NFIB","","RANGAP1","STON2","NEGR1","PCSK6","PDZRN4","IRAK3","CENPP","PID1","SYNPO2","RLBP1","","MAPK8","","ESM1","","","","EML5","CLEC4D","RGS13","","PTGDS","IFIT1","","","ASCL2","FAM181B","","","GPR179","","HIVEP2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","LAMB1",NA,NA,"WISP1","CTNNB1"
"45",NA,"ASNS","GSN","","PLLP","ELMO1","DPYSL5","","H2AFZ","LRP1B","ATRNL1","TMTC2","PCDH7","PRKCH","FMO2","EBF1","ADAMTS1","ALDOC","","GDF5","","GIMAP5","","","","TMEM132D","ADAM8","TPSG1","","CCR5","IDO1","","","HES5","IGF1","","","CABP5","","NRIP3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","LHFP",NA,NA,"LRRC3B","PDHB"
"46",NA,"GOLT1B","NNMT","","FABP5","GLCCI1","CRABP1","","","MAPK4","KIAA1217","DOCK5","NLGN4X","ZNF366","CELF2","PAG1","EBF1","GJA1","","ACHE","","GJA4","","","","BACE1","ARL11","SOCS1","","SLCO2B1","IFIT3","","","HOPX","CTXN2","","","KCNMA1","","TSHZ1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","LPAR1",NA,NA,"GFI1B","SRP68"
"47",NA,"ANGPTL4","TUBA1C","","NLGN3","SEZ6L","DBN1","","","AC002429.2","RGS7","LINC01608","CHL1","TMEM132C","MCTP2","ITIH5","TBX18","APOE","","CCM2","","MMRN2","","","","CACNG2","MMP12","BTK","","PTGS1","TNFSF10","","","NEUROD1","TMEM130","","","LRTM1","","PCBP3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","LRP1",NA,NA,"SLA","GANAB"
"48",NA,"SLC39A14","GJA1","","SERINC5","LRRN1","NFIX","","","TNC","FRMD4A","SPOCK3","GRID2","EMCN","CLMP","PTEN","SLC8A1","LCN2","","WRAP73","","NOTCH4","","","","ISCA1","LYVE1","IL4","","APBB1IP","CXCL10","","","PRSS56","DZANK1","","","PRKCA","","GPSM1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","MAP3K7CL",NA,NA,"PCSK2","EED"
"49",NA,"CDKN1A","TNFRSF1A","","EPB41L2","SEZ6","CEP170","","","MAOB","SYN3","UGT8","ARPP21","PLXNA2","NAV2","CACNA1C","ACTB","SOX9","","NRG1","","NPR1","","","","LPGAT1","PLTP","MS4A2","","CYFIP1","S100A9","","","SOX9","ACSL4","","","QPCT","","PPM1E","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","MICAL2",NA,NA,"KCNJ4","RAB11A"
"50",NA,"HSPA9","WWTR1","","GPR37L1","SOX11","BLCAP","","","FUT9","PTPRN2","SGK1","SOX6","DOCK9","F3","DGKB","INPP4B","VIM","","ATP13A2","","PRKCH","","","","NAT14","VSIG4","VWA5A","","CYTH4","S100A8","","","ALDOC","CLSTN3","","","CPLX3","","DLGAP1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","MRVI1",NA,NA,"INSM2","LTA4H"
"51",NA,"","","","","","","","","LINC01088","SLC4A10","PALM2","XKR4","A2M","AC092957.1","PDE3A","NHS","CCR7","","CNTNAP2","","RASGRP3","","","","SLC12A5","MS4A4A","FCER1A","","MERTK","S100A4","","","APOE","ARHGDIG","","","B3GALT2","","GNG4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","MYL9",NA,NA,"LINC00645","MED14"
"52",NA,"","","","","","","","","LGI1","RIMS2","NCAM2","RALYL","SYNE1","RBMS3","CYSLTR2","CALD1","AANAT","","PNOC","","ROBO4","","","","DEPTOR","MS4A6A","MCEMP1","","MAFB","CLEC7A","","","ID4","HAP1","","","ISL1","","SHISA8","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","NOTCH3",NA,NA,"LINC00609","UBA3"
"53",NA,"","","","","","","","","TENM2","EPHA6","KLHL32","FAM19A1","EPHA4","FRMD6","COL4A4","FILIP1","FABP7","","LHX1","","SCARF1","","","","SLC22A15","FPR1","MILR1","","HPGDS","CSF3R","","","SOX2","NRSN2","","","PCP2","","SYNPR","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","NUPR1",NA,NA,"SLC24A4","TSR2"
"54",NA,"","","","","","","","","SLC4A4","KAZN","SLC5A11","GRIA2","SLCO4A1","THBS1","NOTCH3","SETBP1","SOCS3","","LINGO2","","SOX18","","","","PDE4A","CD180","CCL2","","BIN2","MNDA","","","DCX","ABAT","","","","","PRKCA","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","OLFML3",NA,NA,"SRRM4","NUTF2"
"55",NA,"","","","","","","","","ZNRF3","KCTD16","TRIM2","SORCS3","ST6GAL1","ALDH1A2","ARHGAP6","NR2F2-AS1","SYNM","","FAT3","","SOX7","","","","CACNA1I","GDF15","CREB3L1","","CMTM6","MS4A6A","","","CCND2","HDAC11","","","","","PCP4L1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PCOLCE",NA,NA,"OLIG1","C6orf89"
"56",NA,"","","","","","","","","SLC25A18","ZNF804A","NCKAP5","SCN1A","NXN","TNXB","UST","TPM2","HMG20A","","SRGAP3","","SPNS2","","","","FRYL","RAB20","EDNRA","","CCL4","ZFP36L2","","","DLX1","SLC30A9","","","","","PCP4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PERP",NA,NA,"KY","CUL5"
"57",NA,"","","","","","","","","AQP4","STXBP5L","ANO4","DGKG","SLCO2B1","RORA","TFPI","COL18A1","NFATC3","","CDH4","","THSD1","","","","SURF1","HFE","HS6ST2","","CCL3","LTA4H","","","S100A6","SCAMP1","","","","","SLC1A6","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PPP1R14A",NA,NA,"NXPH1","STRAP"
"58",NA,"","","","","","","","","KCNN3","KCND2","CREB5","GRIA4","NEDD9","PRRX1","LZTS1","PLCE1","SRR","","FLRT3","","APOLD1","","","","TRIM9","TNF","KCNE3","","CCRL2","CLEC12A","","","","MAGEE1","","","","","GRID2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PRELP",NA,NA,"CPNE6","TCEAL4"
"59",NA,"","","","","","","","","ADCY8","GRM7","ELMO1","COL11A1","SLC1A1","TBX18","CYTH3","PDLIM5","SLC1A6","","EDIL3","","EMP1","","","","KCNC1","CCR2","MEIS2","","UCP2","CD48","","","","NCALD","","","","","GAD2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PTGDS",NA,NA,"ENPP6","SEC16A"
"60",NA,"","","","","","","","","MTSS1L","KCNH7","UNC5C","LRP1B","CYYR1","AKR1C2","GRM3","TBX2","ETS1","","ZCCHC12","","CD36","","","","RAB3B","SNX20","MRGPRX2","","CLEC3B","PRTN3","","","","COPG1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","PTK7",NA,NA,"IL33","CIRH1A"
"61",NA,"","","","","","","","","SFXN5","GRIN2A","PIEZO2","LRRC7","ACER2","NKD1","INPP4B","MFGE8","SLIT1","","RALGPS2","","RNASE1","","","","CDK17","FMNL1","PLAU","","MRC2","FCGR3A","","","","KCNC1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RANBP3L",NA,NA,"CHRNA4","MAP3K7"
"62",NA,"","","","","","","","","LINC00499","SNRPN","PLEKHH1","LINC01322","HLA-E","PDZRN3","CDH6","TBC1D1","SNPH","","FAM196A","","CTGF","","","","RGS17","GPR132","ADAMTS9","","CLEC10A","VCAN","","","","FBXW7","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","REM1",NA,NA,"CRYGA","CCT5"
"63",NA,"","","","","","","","","MGST1","HCN1","LPAR1","CHST11","ITGA1","VIT","SEMA5A","CARMIL1","","","SMAD1","","HYAL2","","","","ABCC5","SLAMF7","CHST1","","PF4","IFITM3","","","","GABRG2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RGS4",NA,NA,"OTOR","ITSN2"
"64",NA,"","","","","","","","","FAT3","ERBB4","QDPR","LRRTM3","SCARB1","ROR2","AC022414.1","TMEM131L","","","TBR1","","CLEC4G","","","","RAB26","NCEH1","COBL","","CD53","FN1","","","","NMT1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SDC2",NA,NA,"ACTL6B","NDUFB3"
"65",NA,"","","","","","","","","SORBS1","CDH12","PXK","CACNA1A","ANKS1A","CDH11","KCNE4","IGFBP4","","","KCNH7","","GPR182","","","","VLDLR","CCL24","CTSG","","FOS","ADGRE1","","","","ARID4A","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SLC7A11",NA,NA,"OLIG2","CTR9"
"66",NA,"","","","","","","","","WDR49","CACNA1A","LINC00639","SHISA9","CCNY","GHR","SLC12A7","RNF152","","","LHX5","","F8","","","","CACNG7","C5AR1","DNM3","","EGR1","CD44","","","","ZRSR1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SLC7A2",NA,NA,"C2orf80","PIN4"
"67",NA,"","","","","","","","","ARHGEF26","TENM3","BCAS1","LINC00511","SMAD6","PIAS1","RHOJ","TIMP3","","","CALB2","","RBP7","","","","INAFM1","CD300A","FAM198B","","AIF1","CSF1R","","","","RGS17","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPHK1",NA,NA,"ASIC4","NOL11"
"68",NA,"","","","","","","","","LINC00511","FSTL5","AMER2","FAM155A","PTPRM","ADAMTS12","PRKG1","EPS8","","","EMX2","","CALCRL","","","","BRINP1","CXCL2","GRIK2","","CTSS","CX3CR1","","","","TMEM91","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TAGLN",NA,NA,"FOXB1","RTCB"
"69",NA,"","","","","","","","","PALLD","MDGA2","ANLN","PTPRT","MT2A","LTBP2","MPPED2","ARHGAP6","","","ZIC2","","FOXF1","","","","PIANP","CCL7","HPGDS","","CSF1R","ITGAL","","","","CDK5","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TBX18",NA,NA,"KCND2","GTF2A2"
"70",NA,"","","","","","","","","CLU","SYN2","CNTN2","ALK","ESYT2","TNFRSF19","MIR4435-2HG","PTP4A3","","","WNT7B","","CASZ1","","","","CPLX1","CCL2","HS3ST3A1","","SKI","PECAM1","","","","SAFB","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TPM2",NA,NA,"NKAIN4","TRNT1"
"71",NA,"","","","","","","","","ATP13A4","CELF4","LRP2","CSMD2","ADGRF5","FBN1","ZIC1","SORBS2","","","AATF","","AQP7","","","","SHISA6","IL1B","PAPSS2","","C1QB","PTPRC","","","","RNF220","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TSLP",NA,NA,"GPR139","DERL2"
"72",NA,"","","","","","","","","LINC00299","ERC2","HHIP","DLGAP1","SORBS2","ZEB1","ENPEP","AC098829.1","","","NANOS1","","TCF15","","","","DHRS3","IRF5","PCBD1","","","SPN","","","","RASGRF1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","VASN",NA,NA,"LINGO1","USB1"
"73",NA,"","","","","","","","","PTPRZ1","CCSER1","KIF6","KHDRBS3","BACE2","LAMC3","DNAH11","PHLDB2","","","TBCK","","CD300LG","","","","GRIA4","AHR","PCP4L1","","","PSAP","","","","TCEAL6","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","VSTM4",NA,NA,"LINC00354","ATP6AP2"
"74",NA,"","","","","","","","","LINC01094","FAM155A","MOG","KAZN","TMSB10","SLC7A11","CARMN","DMD","","","RGMB","","BTNL9","","","","NRSN2","MYO1G","RNF128","","","FCN1","","","","TMEM179","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ZIC1",NA,NA,"GRM5","PSMD2"
"75",NA,"","","","","","","","","CARMIL1","ADARB2","CERCAM","AL445250.1","LEF1","FAM189A1","SLC6A1-AS1","MSRB3","","","DACT1","","MEOX2","","","","CDHR1","DUSP5","SLC29A1","","","","","","","NICN1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","ZIC4",NA,NA,"PTPN5","KIAA0196"
"76",NA,"","","","","","","","","NTM","CSMD3","POLR2F","HECW1","KLF2","RBMS3-AS3","GUCY1A2","TEX41","","","EOMES","","ERG","","","","ABR","GPR171","SLC45A3","","","","","","","NAPG","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRELP","SNX19"
"77",NA,"","","","","","","","","AHCYL1","CACNA1B","ABCA2","SLC8A1","ADIPOR2","COLEC12","SLC20A2","FRY","","","CNR1","","HEXIM1","","","","NRN1","CCR7","STARD13","","","","","","","CMIP","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FUT9","C5orf22"
"78",NA,"","","","","","","","","LINC01748","PCLO","PHLPP1","NOVA1","GPR85","ISM1","KCNT2","KIRREL1","","","HAR1A","","GLYCAM1","","","","HIVEP2","DNASE1L3","A4GALT","","","","","","","ZMYND11","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSPG5","PSMD14"
"79",NA,"","","","","","","","","SPON1","RYR2","FAM107B","SLC24A3","CCDC85A","PKNOX2","MSC-AS1","DYNC1I1","","","","","CD55","","","","NXPH4","CXCL1","ACER3","","","","","","","RHBDD2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM132C","UBFD1"
"80",NA,"","","","","","","","","ADGRA3","KHDRBS2","TMEM165","CDH13","SPOCK2","HCN1","HES4","NTN4","","","","","MMRN1","","","","CDH4","SAMSN1","ARMCX3","","","","","","","ST8SIA3","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADARB2","PDCD5"
"81",NA,"","","","","","","","","TENM4","CDH13","CD22","FAM19A2","LMBR1","MAMDC2","SLC6A17","","","","","","C7","","","","CHST1","NR4A3","ATL2","","","","","","","PQBP1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM67","ATG13"
"82",NA,"","","","","","","","","CDHR3","HS6ST3","SLCO1A2","STK32A","AKAP12","SLC16A12","COL5A3","","","","","","RAMP3","","","","SHISA9","CCL22","BBS10","","","","","","","MATK","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNTNAP5","PFDN1"
"83",NA,"","","","","","","","","MIR99AHG","CDH18","CDK19","LINC02588","USP6NL","FAM20A","LIN7A","","","","","","VEGFC","","","","EOMES","S100A4","BMPR2","","","","","","","TRO","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPATA22","KIAA1429"
"84",NA,"","","","","","","","","RGS20","NRG1","FA2H","OPHN1","HMCN1","PRKAG2","KALRN","","","","","","GJA5","","","","NMB","MMP9","C2","","","","","","","AKAP8L","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUNDC3A","COG1"
"85",NA,"","","","","","","","","PRKCA","DAB1","SRCIN1","CDH10","MFSD2A","KAZN","SLC12A2","","","","","","HEY1","","","","LY6G6E","HILPDA","CCDC141","","","","","","","DUSP26","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABRD","CLTC"
"86",NA,"","","","","","","","","CDH4","MTUS2","CADM2","RGS7","RUNDC3B","ACSS3","COL4A1","","","","","","RND1","","","","CALN1","NRP2","CCL7","","","","","","","SYT5","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM182A","VPS37A"
"87",NA,"","","","","","","","","SHROOM3","SLC44A5","ENOX1","SORCS1","IGF1R","SYNPO2","ZFHX3","","","","","","BDP1","","","","CASK","SLC37A2","CDC42BPA","","","","","","","GAD1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLLT10P1","EIF1AD"
"88",NA,"","","","","","","","","DAPK1","TMEM132D","OTUD7A","TRIM9","PDXK","NID1","ADAMTS9-AS2","","","","","","CD46","","","","CACNA1E","CTSK","CDH9","","","","","","","FLYWCH1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC00924","FAM136A"
"89",NA,"","","","","","","","","ITPKB","MACROD2","LINC00320","ZFPM2","WWTR1","ITGA8","SMOC2","","","","","","MEOX1","","","","FAM81A","CD36","COPZ2","","","","","","","RIT2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPPL2C","XRN1"
"90",NA,"","","","","","","","","NPL","ST6GALNAC5","DSCAML1","NELL1","RNF144B","AC092958.1","EDNRA","","","","","","CCL19","","","","CAMKV","LPCAT2","ZDHHC13","","","","","","","TCEAL5","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSL","FDX1"
"91",NA,"","","","","","","","","AC073050.1","KCNJ3","ALCAM","ADAMTS17","CPNE8","JAK2","FOXP2","","","","","","MADCAM1","","","","ARHGAP21","HPGDS","WDR60","","","","","","","PNCK","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GDAP1L1","SLC30A5"
"92",NA,"","","","","","","","","EYA2","OLFM3","NCAM1","CNTN3","NOTCH4","FNDC3B","SH3RF1","","","","","","CYP1B1","","","","DDN","IFNAR2","UNC13B","","","","","","","TMEM59L","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DTHD1","MAPK9"
"93",NA,"","","","","","","","","LINC00461","ANKS1B","NRXN3","KCNIP1","PDE10A","C1S","CCDC102B","","","","","","IRX3","","","","SV2B","MS4A7","TRANK1","","","","","","","TCEAL3","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARC","IKBKB"
"94",NA,"","","","","","","","","RGMA","PLXNA4","LINC01170","DAB1","MEF2A","ATRNL1","DAB1","","","","","","BIRC2","","","","FRRS1L","SLC11A1","TIAM2","","","","","","","GPRASP2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CELF5","ARPC4"
"95",NA,"","","","","","","","","RANBP3L","NRXN1","PDE1A","KIF26B","CNOT6L","NR2F1-AS1","PRELP","","","","","","LYVE1","","","","ACSL4","HPGD","TCF7L1","","","","","","","MAP7D2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA14","PRDM4"
"96",NA,"","","","","","","","","AL589740.1","SHISA9","MYRF","LRRN1","PRICKLE2","LINC02058","PARD3","","","","","","SEMA3D","","","","CAMK4","CCL3","STK32B","","","","","","","MIAT","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMO1","EPRS"
"97",NA,"","","","","","","","","LRIG1","TMEM132B","CDK18","KIAA1217","NR3C2","","SNRK","","","","","","EMCN","","","","NPTXR","CLEC7A","ST6GALNAC3","","","","","","","RB1CC1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECAB2","YY1"
"98",NA,"","","","","","","","","PAMR1","GALNT17","PLD1","NLGN4Y","INSR","","THSD7B","","","","","","WFDC1","","","","LINGO1","CD5L","SOCS2","","","","","","","PABPN1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOC102724604","SEC11A"
"99",NA,"","","","","","","","","EFEMP1","ANKRD30BL","FOLH1","ADARB2","PARVB","","LAMC3","","","","","","ADGRL4","","","","HPCAL4","CCL5","SPRED1","","","","","","","GRIA3","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOC101927272","SPTLC1"
"100",NA,"","","","","","","","","DAAM1","SNAP25","DLG2","UNC80","CXorf36","","DOK6","","","","","","VWA1","","","","LMO3","CYTH4","SMPX","","","","","","","NBEA","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIR325HG","TCEA1"
"101",NA,"","","","","","","","","DOCK7","ROBO1","AATK","SHC3","ANXA3","","DACH1","","","","","","ECE1","","","","LYPD1","CD3E","SMARCA1","","","","","","","SFSWAP","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPT-IT1","FKBP15"
"102",NA,"","","","","","","","","FGFR3","IQCJ-SCHIP1","SYNJ2","MIR3681HG","HIF1A-AS2","","TBX2","","","","","","PTPRB","","","","CHN1","CD19","SLC7A5","","","","","","","WDR60","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC00463","TBC1D22B"
"103",NA,"","","","","","","","","AC099792.1","PTPRT","ARAP2","MYT1","CEMIP2","","ISYNA1","","","","","","CLDN5","","","","NRGN","CD74","SLC4A4","","","","","","","SCN1A","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C9orf171","LSM3"
"104",NA,"","","","","","","","","TRPS1","KSR2","DIP2B","MAP2","CHSY1","","PLCE1","","","","","","TBX1","","","","SLC17A7","CSF1R","SLC31A2","","","","","","","RNPC3","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSX1","CEP164"
"105",NA,"","","","","","","","","GPR75-ASB3","GABBR2","PLCL1","PLPPR1","RAPGEF1","","CACHD1","","","","","","SEMA7A","","","","CAMK2A","LGALS3","SGCE","","","","","","","HOXC8","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLL3","PIGG"
"106",NA,"","","","","","","","","CRB1","RIMS1","HS3ST5","SEMA5A","AFDN","","RORA","","","","","","FOXF2","","","","PRKCB","CD68","ROR1","","","","","","","RERE","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGF2-AS","DPH3"
"107",NA,"","","","","","","","","WWC1","PAK3","COBL","PLPP4","GRB10","","PDE5A","","","","","","PDGFB","","","","NCALD","UCP2","RNF180","","","","","","","SCN8A","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPT","ASXL2"
"108",NA,"","","","","","","","","NEBL","TMEM178B","COLGALT2","PDZD2","PTPRG","","AGRN","","","","","","ECSCR","","","","RAB15","TREML4","RIOK2","","","","","","","TRIP11","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSMD1","CHCHD4"
"109",NA,"","","","","","","","","CDH20","ZMAT4","NLGN1","ADGRL3","PCAT19","","SHISA6","","","","","","ELK3","","","","FBXW11","FGR","RBFOX1","","","","","","","EML5","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMGA1P7","SYS1"
"110",NA,"","","","","","","","","ANKFN1","CNTN4","AC009063.2","ZNF462","XAF1","","PTPRK","","","","","","CDH5","","","","ADCY1","CYBB","RAPGEF2","","","","","","","KMT2C","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPHB1","METAP1"
"111",NA,"","","","","","","","","OPHN1","LRRC4C","ATP10B","EPN2","GPCPD1","","DISC1","","","","","","PLEC","","","","FBXO11","CD200","PDE1C","","","","","","","AAK1","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGT","UBE2A"
"112",NA,"","","","","","","","","CABLES1","OXR1","AKAP6","POU6F2","ATP7B","","CRISPLD2","","","","","","STAB1","","","","IGSF21","CD200R1","PCDH7","","","","","","","SAFB2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM196","VPS4B"
"113",NA,"","","","","","","","","APC","CACNA1D","KCNMB4","NEGR1","AP3S1","","NR2F2","","","","","","TGFBR2","","","","SRGAP3","GATA6","OPTN","","","","","","","SACS","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHANK2","MRPL36"
"114",NA,"","","","","","","","","ASPH","KCNB2","DNM3","SCN3A","RPGR","","ZEB1","","","","","","CD93","","","","NTNG1","ITGAX","OAF","","","","","","","RYR2","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPLX1","DNAJB6"
